#-----------------------------------------------------------------------------
# Date d'extraction : 16/07/2019 - 07h16 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     A2 : scenario A2
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
#                  (1 - hiver, 2 - printemps, 3 - été, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORSSWI : Intégration de Indicateur sècheresse d'humidité des sols (null)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;Saison;NORSSWI;
#-----------------------------------------------------------------------------
1566;42.0706;8.9449;A2;H1;3;-0.36;
1566;42.0706;8.9449;A2;H1;4;-0.9;
1567;42.0646;9.0409;A2;H1;1;-1.06;
1567;42.0646;9.0409;A2;H1;2;-0.72;
1567;42.0646;9.0409;A2;H1;3;-0.34;
1567;42.0646;9.0409;A2;H1;4;-0.85;
1568;42.0584;9.1369;A2;H1;1;-1.39;
1568;42.0584;9.1369;A2;H1;2;-1.46;
1568;42.0584;9.1369;A2;H1;3;-0.72;
1568;42.0584;9.1369;A2;H1;4;-1.11;
1569;42.0522;9.2329;A2;H1;1;-1.62;
1569;42.0522;9.2329;A2;H1;2;-0.67;
1569;42.0522;9.2329;A2;H1;3;-0.55;
1569;42.0522;9.2329;A2;H1;4;-1.16;
1570;42.0458;9.3288;A2;H1;1;-0.74;
1570;42.0458;9.3288;A2;H1;2;-0.24;
1570;42.0458;9.3288;A2;H1;3;-0.22;
1570;42.0458;9.3288;A2;H1;4;-0.27;
1571;42.0394;9.4248;A2;H1;1;-0.75;
1571;42.0394;9.4248;A2;H1;2;-0.34;
1571;42.0394;9.4248;A2;H1;3;-0.24;
1571;42.0394;9.4248;A2;H1;4;-0.29;
1637;42.3488;1.9977;A2;H1;1;-0.62;
1637;42.3488;1.9977;A2;H1;2;-0.7;
1637;42.3488;1.9977;A2;H1;3;-0.48;
1637;42.3488;1.9977;A2;H1;4;-0.31;
1642;42.3492;2.4818;A2;H1;1;-0.68;
1642;42.3492;2.4818;A2;H1;2;-0.55;
1642;42.3492;2.4818;A2;H1;3;-0.46;
1642;42.3492;2.4818;A2;H1;4;-0.52;
1643;42.349;2.5786;A2;H1;1;-0.66;
1643;42.349;2.5786;A2;H1;2;-0.47;
1643;42.349;2.5786;A2;H1;3;-0.44;
